id,text,optionA,optionB,optionC,optionD,correctOption,difficultyLevel
14,באג'ייל איזו הצהרה לגבי איטרציות היא הכי מדויקת?,איטרציות קורות רק אחרי שכל הדרישות הסתיימו,איטרציות הן שלבים ארוכים עם היקף קבוע,כל איטרציה מסתיימת בתוכנה עובדת שניתן לספק,הבדיקות נדחות לאיטרציה האחרונה,C,MEDIUM
15,מה מהבאים אינו יתרון טיפוסי של אינטגרציה רציפה?,פגמים נמצאים מוקדם יותר,קונפליקטים במיזוג קוד מופחתים,זה מבטל את הצורך בבדיקות יחידה,תהליכי בנייה ובדיקה הם אוטומטיים,C,HARD
16,במהלך בדיקה פורמלית איזה תפקיד אחראי על ניהול הפגישה ושמירה על המיקוד?,הקורא,המחבר,המנחה,הרושם,C,MEDIUM
17,מהי המטרה העיקרית של עיצוב ארכיטקטוני?,לאופטימיזציה של צבעי ממשק המשתמש וגופנים,להגדיר כיצד אחריות המערכת מחולקת לרכיבים והאינטראקציות ביניהם,לכתוב מקרי בדיקה מפורטים,להעריך את תקציב הפרויקט,B,HARD
18,איזה מדד מעיד הכי טוב על כך שסט בדיקות יחידה מספק כיסוי מבני טוב?,מספר גבוה של באגים שנמצאו על ידי לקוחות,אחוז גבוה של משפטים או ענפים שבוצעו במהלך הריצה,מספר גבוה של מסכי ממשק משתמש שנבדקו,זמן ריצה נמוך של הבדיקות,B,HARD
19,יש לך פונקציה שמקבלת מספר שלם ומתנהגת אחרת בטווחים שונים. איזה שילוב נותן את הכיסוי הפונקציונלי הטוב ביותר?,בדיקות אקראיות בלבד,חלוקה למחלקות שקילות בשילוב ניתוח ערכי גבול,בדיקות מעברי מצב בלבד,בדיקות אד-הוק על ידי בודק מומחה,B,EXPERT
20,צוות מתחזק פרויקט גדול בגיט. איזה תהליך עבודה ממזער את הסיכון לשבירת הענף הראשי?,ביצוע שמירה להכל ישירות לענף הראשי,שימוש בענפי תכונה ובקשות משיכה עם סקירת קוד,שימוש בענף משותף אחד בלבד לכל העבודה,דחיפת קוד לגיבוי חיצוני בכל יום,B,EXPERT
21,איזה שילוב מתאר הכי טוב את המטרה של בדיקות קבלה?,אימות סגנון הקוד ומוסכמות שיום,אימות שהמערכת עומדת בדרישות הלקוח,בדיקה שכל מחלקה מתקמפלת ללא שגיאות,מדידת ביצועי אלגוריתמים ברמה נמוכה בלבד,B,EXPERT
22,איזו טכניקת קופסה לבנה עוזרת לכסות בצורה שיטתית שילובים לוגיים שונים?,כיסוי החלטות או תנאים,בדיקות פונקציונליות אקראיות,בדיקות שמישות,בדיקות אלפא ובטא,A,EXPERT
23,איזו הצהרה לגבי פיתוח מונחה בדיקות היא הכי מדויקת?,בדיקות נכתבות לאחר מימוש מלא,פיתוח מונחה בדיקות מעודד כתיבת בדיקות תחילה ואז את הקוד,פיתוח מונחה בדיקות מבטל את הצורך בעיצוב לחלוטין,פיתוח מונחה בדיקות משמש רק לבדיקות ממשק משתמש,B,EXPERT
24,פגם חמור נמצא בסביבת הייצור. איזו פעילות הכי מתאימה למניעת הישנות המקרה?,הוספת שיחות לא רשמיות נוספות,ביצוע ניתוח שורש הבעיה ושיפור שיטות הבדיקה,בקשה מהמפתחים לעבוד מהר יותר,הסרת כל בדיקות היחידה,B,EXPERT
