id,text,optionA,optionB,optionC,optionD,correctOption,difficultyLevel
12,في سياق الubs و Drivers، ما هو الـ DRIVER؟,تنفيذ بسيط لمكون يتم استدعاؤه (stub),أداة تراقب أداء النظام مثل استخدام الذاكرة,كود اختبار يستدعي المكون قيد الاختبار,قاعدة بيانات تستخدم للاختبار الآلي,C,MEDIUM
13,أي تقنية لتصميم الاختبار هي الأنسب لالتقاط الأخطاء عند حدود نطاقات الإدخال؟,تقسيم التكافؤ (Equivalence Partitioning),تحليل القيم الحدية (Boundary Value Analysis),اختبار انتقال الحالة,اختبار عشوائي,B,HARD
14,في Agile، أي عبارة حول التكرارات (Sprints) هي الأكثر دقة؟,تحدث التكرارات فقط بعد الانتهاء من جميع المتطلبات,التكرارات هي مراحل طويلة بنطاق ثابت,كل تكرار ينتج عنه برنامج عمل قابل للشحن (Potentially shippable),يتم تأجيل الاختبار حتى التكرار الأخير,C,MEDIUM
15,أي مما يلي ليس ميزة نموذجية للتكامل المستمر (CI)؟,يتم العثور على العيوب في وقت مبكر,يتم تقليل تعارضات الدمج,يلغي الحاجة لاختبارات الوحدة,عمليات البناء والاختبار مؤتمتة,C,HARD
16,أثناء الفحص (Inspection)، أي دور مسؤول عن إدارة الاجتماع وإبقائه في المسار الصحيح؟,القارئ,المؤلف,المشرف (Moderator),المسجل,C,MEDIUM
17,ما هو الهدف الرئيسي للتصميم المعماري (تصميم عالي المستوى)؟,تحسين ألوان وخطوط واجهة المستخدم,تحديد كيفية تقسيم مسؤوليات النظام إلى مكونات وتفاعلاتها,كتابة حالات اختبار مفصلة,تقدير ميزانية المشروع,B,HARD
18,أي مقياس يشير بشكل أفضل إلى أن مجموعة اختبار JUnit توفر تغطية هيكلية جيدة؟,عدد كبير من الأخطاء التي عثر عليها العملاء,نسبة مئوية عالية من العبارات أو الفروع المنفذة أثناء تشغيل الاختبار,عدد كبير من شاشات واجهة المستخدم التي تم اختبارها,وقت تنفيذ منخفض للاختبارات,B,HARD
19,لديك دالة تستقبل عددًا صحيحًا وتتصرف بشكل مختلف في عدة نطاقات. أي مجموعة تعطي أفضل تغطية وظيفية؟,اختبار عشوائي فقط,تقسيم التكافؤ بالإضافة إلى تحليل القيم الحدية,اختبار انتقال الحالة فقط,اختبار مخصص من قبل خبير,B,EXPERT
20,فريق يحتفظ بمشروع كبير باستخدام Git. أي سير عمل يقلل من خطر كسر الفرع الرئيسي؟,تثبيت (Commit) كل شيء مباشرة إلى الرئيسي,استخدام فروع الميزات (Feature branches) وطلبات السحب مع مراجعة الكود,استخدام فرع مشترك واحد فقط لجميع الأعمال,نسخ الكود إلى نسخة احتياطية USB كل يوم,B,EXPERT
21,أي مجموعة تصف الغرض من اختبارات القبول بشكل أفضل؟,التحقق من أسلوب الكود وتسميات الاتفاقيات,التحقق من أن النظام يلبي متطلبات العميل,التحقق من أن كل فئة يتم تجميعها دون أخطاء,قياس أداء الخوارزمية منخفضة المستوى فقط,B,EXPERT
22,أي تقنية للصندوق الأبيض تساعد بشكل منهجي على تغطية مجموعات منطقية مختلفة؟,تغطية القرار أو الشرط,اختبارات وظيفية عشوائية,اختبار قابلية الاستخدام,اختبار ألفا/بيتا,A,EXPERT
23,أي عبارة حول التطوير الموجه للاختبار (TDD) هي الأكثر دقة؟,تتم كتابة الاختبارات بعد التنفيذ الكامل,TDD يشجع على كتابة الاختبارات أولاً ثم الكود,TDD يلغي الحاجة للتصميم تمامًا,يستخدم TDD فقط لاختبار واجهة المستخدم,B,EXPERT
24,تم العثور على خلل خطير في الإنتاج. ما هو النشاط الأنسب لمنع التكرار؟,إضافة المزيد من المحادثات غير الرسمية,إجراء تحليل السبب الجذري وتحسين ممارسات الاختبار,الطلب من المطورين العمل بشكل أسرع,إزالة جميع اختبارات الوحدة,B,EXPERT
